IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
OCA,Ocean Reef Club Airport,Key Largo,Florida,US,25.32432,-80.27573
CYT,Yakataga Airport,Yakataga,Alaska,US,60.08085,-142.49549
FWL,Farewell Airport,Farewell,Alaska,US,62.50918,-153.89063
CSE,Crested Butte Airpark,Crested Butte,Colorado,US,38.85194,-106.93282
CUS,Columbus Municipal Airport,Columbus,New Mexico,US,31.82371,-107.62697
JCY,Lbj Ranch Airport,Johnson City,Texas,US,30.25181,-98.62253
ICY,Icy Bay Airport,Icy Bay,Alaska,US,59.96902,-141.66177
HGZ,Hog River Airport,Hogatza,Alaska,US,66.17613,-155.68482
GWV,Fokker Field,Bush,Louisiana,US,30.59317,-89.87348
BZT,Eagle Air Park,Brazoria,Texas,US,28.98219,-95.57967
BYW,Blakely Island Airport,Blakely Island,Washington,US,48.57899,-122.82629
DRF,Drift River Airport,Kenai,Alaska,US,60.58887,-152.16198
BDF,Rinkenberger Airport,Bradford,Illinois,US,41.23087,-89.61565
CTO,Calverton Executive Airpark,Calverton,New York,US,40.9,-72.8
RFK,Rollang Field,Rolling Fork,Mississippi,US,32.95429,-90.84593
BCS,Southern Seaplane Airport,Belle Chasse,Louisiana,US,29.86604,-90.02229
CWS,Center Island Airport,Center Island,Washington,US,48.4901,-122.83212
DUF,Pine Island Airport,Corolla,North Carolina,US,36.2535,-75.78852
SSW,Stuart Island Airpark,Stuart Island,Washington,US,48.67288,-123.17575
FOB,Fort Bragg Airport,Fort Bragg,California,US,39.47433,-123.79557
MHN,Hooker County Airport,Mullen,Nebraska,US,42.04216,-101.05966
AXB,Maxson Airfield,Alexandria Bay,New York,US,44.31672,-75.89967
REE,Reese Airpark,Lubbock,Texas,US,33.59476,-102.04342
AFT,Afutara Aerodrome,Bila,Malaita,SB,-9.19139,160.94861
RNA,Ulawa Airport,Arona,,SB,-9.86054,161.97955
ATD,Uru Harbour Airport,Atoifi,,SB,-8.87333,161.011
VEV,Barakoma Airport,Barakoma,,SB,-7.91278,156.70599
BPF,Batuna Aerodrome,Batuna Mission Station,Western Province,SB,-8.56203,158.11931
GEF,Geva Airport,Liangia,,SB,-7.57583,156.597
AKS,Auki Airport,Auki,,SB,-8.70257,160.68201
BNY,Bellona/Anua Airport,Anua,,SB,-11.30222,159.79833
CHY,Choiseul Bay Airport,,Choiseul,SB,-6.71194,156.39611
BAS,Ballalae Airport,Ballalae,,SB,-6.99075,155.88666
FRE,Fera/Maringe Airport,Fera Island,Isabel,SB,-8.1075,159.577
HIR,Honiara International Airport,Honiara,Guadalcanal,SB,-9.428,160.05499
MBU,Babanakira Airport,Mbambanakira,Guadalcanal,SB,-9.7475,159.839
AVU,Avu Avu Airport,,Guadalcanal,SB,-9.86833,160.41056
IRA,Ngorangora Airport,Kirakira,,SB,-10.4497,161.89799
SCZ,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,Temotu,SB,-10.7203,165.795
MUA,Munda Airport,,,SB,-8.32797,157.263
GZO,Nusatupe Airport,Gizo,,SB,-8.09778,156.864
MNY,Mono Airport,Stirling Island,,SB,-7.41694,155.565
PRS,Parasi Airport,Parasi,,SB,-9.64167,161.425
RNL,Rennell/Tingoa Airport,Rennell Island,Rennell and Bellona,SB,-11.5339,160.063
EGM,Sege Airport,Sege,,SB,-8.57889,157.87601
NNB,Santa Ana Airport,Santa Ana Island,,SB,-10.84799,162.45411
RUS,Marau Airport,Marau,,SB,-9.86167,160.825
VAO,Suavanao Airport,Suavanao,,SB,-7.58556,158.731
XYA,Yandina Airport,Yandina,,SB,-9.09282,159.21841
KGE,Kagau Island Airport,Kagau Island,,SB,-7.333,157.58299
GTA,Gatokae Airport,Gatokae,,SB,-8.73917,158.20306
RIN,Ringi Cove Airport,Ringi Cove,,SB,-8.12639,157.14301
RBV,Ramata Airport,Ramata,,SB,-8.16806,157.64301
CEX,Chena Hot Springs Airport,Chena Hot Springs,Alaska,US,65.05183,-146.04743
SOL,Solomon State Field,Solomon,Alaska,US,64.56064,-164.44233
HED,Herendeen Bay Airport,Herendeen Bay,Alaska,US,55.80139,-160.89925
TWE,Taylor Airport,Taylor,Alaska,US,65.67928,-164.79881
LNI,Lonely Air Station,Lonely,Alaska,US,70.91075,-153.24221
CDL,Candle 2 Airport,Candle,Alaska,US,65.90766,-161.92631
BSW,Boswell Bay Airport,Boswell Bay,Alaska,US,60.42306,-146.14591
INU,Nauru International Airport,Yaren District,Yaren,NR,-0.54746,166.91901
AFR,Afore Airstrip,Afore,Oro Province,PG,-9.14222,148.39083
ATP,Aitape Airport,Aitape,Sandaun,PG,-3.14361,142.34681
AMU,Amanab Airport,Amanab,Sandaun,PG,-3.586,141.21433
ADC,Andakombe Airport,Andekombe,Gulf,PG,-7.13722,145.74472
AIE,Aiome Airport,Aiome,Madang,PG,-5.1457,144.7307
KPM,Kompiam Airport,,Enga,PG,-5.38167,143.92472
AUJ,Ambunti Airport,Ambunti,East Sepik,PG,-4.21567,142.82317
AWB,Awaba Airport,Awaba,Western Province,PG,-8.00611,142.74835
AYU,Aiyura Airport,Aiyura Valley,Eastern Highlands,PG,-6.33806,145.90417
VMU,Baimuru Airport,Baimuru,Gulf,PG,-7.49686,144.8199
BDZ,Baindoung Airport,,Morobe,PG,-6.34722,146.94222
BUA,Buka Airport,Buka Island,Bougainville,PG,-5.42232,154.673
BAA,Bialla Airport,Bialla,West New Britain,PG,-5.329445,151.006128
OPU,Balimo Airport,Balimo,Western Province,PG,-8.05,142.933
BUL,Bulolo Airport,Bulolo,Morobe,PG,-7.21629,146.64954
CGC,Cape Gloucester Airport,Cape Gloucester,West New Britain,PG,-5.455122,148.423082
CMU,Chimbu Airport,Kundiawa,Chimbu,PG,-6.02429,144.97099
DAO,Dahamo Airstrip,Dabo,Western,PG,-5.753194,141.993611
DBP,Debepare Airport,Debepare,Western,PG,-6.308611,141.905556
DER,Derim Airport,Derim,Morobe,PG,-6.14472,147.10722
DAU,Daru Airport,Daru,Western Province,PG,-9.08676,143.20799
XYR,Edwaki Airport,Yellow River Mission,Sandaun,PG,-3.88399,141.79223
FNE,Fane Airport,Fane Mission,Central Province,PG,-8.54928,147.08583
FIN,Finschhafen Airport,Buki,Morobe,PG,-6.62175,147.85405
FAQ,Frieda River Airport,Frieda River,East Sepik,PG,-4.61047,141.96014
GKA,Goroka Airport,Goronka,Eastern Highlands,PG,-6.08169,145.392
GRL,Garasa Airport,Au,Morobe,PG,-7.98071,147.21346
GAR,Garaina Airport,Garaina,Morobe,PG,-7.87563,147.14127
GUR,Gurney Airport,Gurney,Milne Bay,PG,-10.3115,150.334
GAP,Gusap Airport,Gusap,Morobe,PG,-6.0532,145.95905
PNP,Girua Airport,Popondetta,Northern Province,PG,-8.80454,148.30901
GMI,Gasmata Island Airport,Gasmata Island,West New Britain,PG,-6.27111,150.33099
GVI,Green River Airport,Green River,Sandaun,PG,-3.90224,141.17052
HKN,Kimbe Airport,Hoskins,West New Britain,PG,-5.46217,150.405
KIE,Aropa Airport,Kieta,Bougainville Island,PG,-6.305,155.72778
LSA,Losuia Airport,Losuia,Milne Bay,PG,-8.50582,151.08099
KBM,Kabwum,,Morobe,PG,-6.15547,147.19147
KDR,Kandrian Airport,Kandrian,West New Britain,PG,-6.2659,149.5581
UNG,Kiunga Airport,Kiunga,Western Province,PG,-6.12571,141.282
KRI,Kikori Airport,Kikori,Gulf,PG,-7.42438,144.25008
KMA,Kerema Airport,Kerema,Gulf,PG,-7.96361,145.771
KKD,Kokoda Airport,Kokoda,Northern Province,PG,-8.88468,147.73096
KZF,Kaintiba Airport,Kaintiba,Gulf,PG,-7.50025,146.03383
KUQ,Kuri Airport,Kuri,Gulf,PG,-7.13508,143.27611
KVG,Kavieng Airport,Kavieng,New Ireland,PG,-2.5794,150.808
KWO,Kawito Airport,Kawito,Western Province,PG,-7.97701,142.82358
LNV,Londolovit Airport,Londolovit,New Ireland,PG,-3.04361,152.629
LMY,Lake Murray Airport,Lake Murray,Western Province,PG,-7.00992,141.494
LWI,Lowai Airstrip,Lowai,Morobe Province,PG,-6.3344,146.6458
LMI,Lumi Airport,Lumi,Sandaun,PG,-3.47684,142.04129
MYX,Menyamya Airport,Menyamya,Morobe,PG,-7.21167,146.01936
MAG,Madang Airport,Madang,Madang,PG,-5.20708,145.789
HGU,Mount Hagen Kagamuga Airport,Mount Hagen,Western Highlands,PG,-5.82679,144.29601
MXK,Mindik Airport,Mindik,Morobe,PG,-6.47167,147.44114
GUV,Mougulu Airport,Mougulu,Western Province,PG,-6.28086,142.42077
MDU,Mendi Airport,,Southern Highlands,PG,-6.14774,143.657
MAS,Momote Airport,,Manus,PG,-2.06189,147.424
MXH,Moro Airport,Moro,Southern Highlands,PG,-6.36333,143.23801
MIS,Misima Island Airport,Misima Island,Milne Bay,PG,-10.6892,152.838
GBF,Negarbo(Negabo) Airport,Negarbo,Chimbu,PG,-6.56778,144.70306
MFO,Manguna Airport,Manguna,East New Britain,PG,-5.57778,151.79233
UKU,Nuku Airport,Nuku,Sandaun,PG,-3.67665,142.48433
LAE,Lae Nadzab Airport,Nadzab,Morobe,PG,-6.56983,146.726
OGE,Ogeranang Airport,,Morobe,PG,-6.46675,147.36417
OSE,Omora Airport,Omora,Morobe,PG,-7.82778,147.08064
PDI,Pindiu Airport,Pindiu,Morobe,PG,-6.44514,147.51583
POM,Port Moresby Jacksons International Airport,Port Moresby,National Capital,PG,-9.44338,147.22
KRJ,Karawari Airstrip,,East Sepik,PG,-4.59667,143.5225
RMN,Rumginae Airport,,Western Province,PG,-5.89722,141.27167
KMR,Karimui Airport,Karimui,Chimbu,PG,-6.4921,144.823
SBE,Suabi Airport,,Western Province,PG,-6.10444,142.27833
NIS,Simberi Airport,Simberi Island,New Ireland,PG,-2.66222,151.99778
SIL,Sila Airport,Sila Mission,Northern Province,PG,-9.07356,148.38925
SIM,Simbai Airport,Simbai,Western Highlands,PG,-5.27861,144.54472
TDS,Sasereme Airport,Sasereme,Western Province,PG,-7.622778,142.868889
SKC,Suki Airport,Suki,Western Province,PG,-8.0466,141.7222
TIZ,Tari Airport,Tari,Southern Highlands,PG,-5.845,142.948
TBG,Tabubil Airport,Tabubil,Western Province,PG,-5.27861,141.226
TFM,Telefomin Airport,Telefomin,Western Province,PG,-5.12608,141.64192
TPI,Tapini Airport,Tapini,Central Province,PG,-8.35667,146.98917
TAJ,Tadji Airport,Aitape,Sandaun,PG,-3.19819,142.43096
RAB,Tokua Airport,Tokua,East New Britain,PG,-4.34046,152.38
TKW,Tekin Airport,Tekin,Sandaun,PG,-5.24367,142.16519
TFI,Tufi Airport,Tufi,Northern Province,PG,-9.07595,149.31984
VAI,Vanimo Airport,,Sandaun,PG,-2.69717,141.302
WAO,Wabo Airport,Wabo,Gulf,PG,-6.98944,145.07511
WBM,Wapenamanda Airport,,Enga,PG,-5.6433,143.895
AGL,Wanigela Airport,,Northern Province,PG,-9.3375,149.15556
WWK,Wewak International Airport,Wewak,East Sepik,PG,-3.58383,143.66901
WOA,Wonenara Airport,Wonenara,Eastern Highlands,PG,-6.79686,145.89194
WSU,Wasu Airport,Wasu,Morobe,PG,-5.96171,147.19823
WTP,Woitape Airport,Fatima Mission,Central Province,PG,-8.54583,147.2525
WUG,Wau Airport,Wau,Morobe,PG,-7.34556,146.71861
JEG,Aasiaat Airport,Aasiaat,Qaasuitsup,GL,68.7218,-52.7847
UAK,Narsarsuaq Airport,Narsarsuaq,Kujalleq,GL,61.1605,-45.426
CNP,Neerlerit Inaat Airport,Neerlerit Inaat,Sermersooq,GL,70.7431,-22.6505
GOH,Nuuk Airport,Nuuk,Sermersooq,GL,64.191,-51.678
JAV,Ilulissat Airport,Ilulissat,Avannaata,GL,69.2432,-51.0571
KUS,Kulusuk Airport,Kulusuk,Sermersooq,GL,65.5736,-37.1236
JSU,Maniitsoq Airport,Maniitsoq,Qeqqata,GL,65.4125,-52.9394
JFR,Paamiut Airport,Paamiut,Sermersooq,GL,62.01474,-49.67094
NAQ,Qaanaaq Airport,Qaanaaq,Avannaata,GL,77.4886,-69.3887
SFJ,Kangerlussuaq Airport,Kangerlussuaq,Qeqqata,GL,67.01222,-50.7116
